id_cat,category,has_merchandise,has_food
1,Agriculture & Livestock Supplies,1,0
2,Amusements,1,0
4,Automobiles & Trucks,1,0
5,"Buildings, Hardware, Tools",1,0
6,"Clothing, Accessories, Jewelry",1,0
8,"Health & Beauty, Nutrition",1,0
9,"Home Improvement & Services, Lawn & Garden",1,0
10,"Home Products & Decor, Arts & Crafts, Signs",1,0
11,Imports & Ethnic,1,0
12,"Schools, Government, Public Service",1,0
13,Media,1,0
14,"Musical Instruments, Technology",1,0
15,"Souvenirs, Toys",1,0
16,Pet Supplies,1,0
17,Political,1,0
18,Recreation & Sports,1,0
19,Religious Organizations,1,0
20,Eco Experience,1,0
40,On-a-Stick,1,1
41,New Food/Flavor,0,1
42,New Vendor,1,1
43,Beer & Wine,0,1
44,Open Early,0,1
60,Blue Ribbon Bargain Book,1,1
64,Kids Day (Valid Sept. 1 only),1,1
65,Seniors Day (Valid Sept. 2 only),1,1
66,Opening Day (Valid Aug. 26 only),1,1
68,Military Appreciation Day (Valid Aug. 31 only),1,1
69,Monday Deals (Valid Aug. 30 & Sept. 6 only),1,1
